date	temperature	sports_drink	soda	bottled_water	fruit_juice
2014/4/1	13.9	2.263703264	1.479171948	2.286655409	2.78874573
2014/4/2	15.2	1.697736784	1.039873798	1.607946622	1.855178859
2014/4/3	13.8	1.407450232	0.965123044	1.304827974	1.753766695
2014/4/4	15.3	1.209597579	0.827481296	1.076016178	1.531756441
2014/4/5	11.4	1.206834124	0.755487783	1.012055299	1.354133568
2014/4/6	9	1.124408072	0.700972397	0.983902958	1.258334307
2014/4/7	11.4	1.101149071	0.681183309	0.973073715	1.239760948
2014/4/8	15.8	1.205052292	0.803442808	1.147940784	1.428015449
2014/4/9	15.5	1.266404062	0.842894707	1.154127954	1.536702369
2014/4/10	16.1	1.315317218	0.868774511	1.200240875	1.532556408
2014/4/11	12.9	1.37558223	0.842883209	1.226854871	1.492424515
2014/4/12	14.6	1.356126754	0.892260227	1.149650581	1.389678771
2014/4/13	14.4	1.210045226	0.878404042	1.154434624	1.430035091
2014/4/14	14	1.172797272	0.816952371	1.157413973	1.321572371
2014/4/15	16.3	1.217102707	0.857046867	1.197671454	1.498403648
2014/4/16	18.7	1.291887513	0.902076538	1.223445297	1.618246716
2014/4/17	17.7	1.334888505	0.941751246	1.23637251	1.56314176
2014/4/18	11.8	1.260976333	0.927195845	1.169506012	1.433699047
2014/4/19	11.7	0.878125381	0.745151887	0.950374363	1.126208715
2014/4/20	11	0.876782056	0.739899136	0.991557217	1.128045885
2014/4/21	13.4	0.876944379	0.750043024	1.007186769	1.159435257
2014/4/22	15.2	0.937007352	0.885442499	1.101301673	1.262923296
2014/4/23	16.2	0.959136831	0.921620616	1.121703476	1.310578093
2014/4/24	16.6	1.072424898	1.03633381	1.225178208	1.485467526
2014/4/25	17.8	1.164902717	1.048659212	1.254675397	1.560165686
2014/4/26	18.2	1.21324915	1.137599468	1.211054145	1.696104041
2014/4/27	18.1	1.15337215	1.044147639	1.166646953	1.506658762
2014/4/28	18.6	1.093820963	1.01533159	1.12949051	1.499730794
2014/4/29	17.8	0.974241703	1.035964396	1.098026123	1.483667076
2014/4/30	16.7	0.926768411	0.976764386	1.096017128	1.40858714
2014/5/1	20.6	0.877366043	0.954305933	1.144310769	1.435656322
2014/5/2	21	1.053984131	1.133704659	1.198948841	1.585565044
2014/5/3	21.3	1.313501805	1.311978948	1.207387367	1.902789348
2014/5/4	18.6	1.190811987	1.145590993	1.09462871	1.631782669
2014/5/5	18.1	1.118804496	1.081759893	1.02713436	1.515264969
2014/5/6	14.3	0.958767063	0.937416367	0.940014098	1.34297572
2014/5/7	16.5	1.002404082	0.930451314	0.957923483	1.311623184
